,Tweets,Labels
0,"RT @RJGatorEsq: David Hogg, the perpetually enraged anti-liberty gun confiscation advocate, says he’s starting a revolution to take away gu…",Neutral
1,"RT @TroluKejri: We Strongly Condemn The Strip Search Done On Our Respected PM 
#ShahidKhaqanAbbasi Ji. US President Donald Trump And His Cl…",Positive
2,"@NYDailyNews @FLOTUS @HillaryClinton @secupp @MELANIATRUMP Actually, Trump should dum p his stupid and boring wife.",Negative
3,"RT @VP: Our President promised to cut taxes across the board &amp; just over 3 months ago, with the strong support of @RepKevinCramer &amp; @SenJoh…",Positive
4,"RT @MSNBC: President Trump has pushed for the military to pay for his border wall, the @washingtonpost reports. 

More on @Hardball: https:…",Positive
5,"RT @SirJadeja: Expecting A Strong Protest In JNU Today And Rightly So, Their PM Have Been Stripped. We Might As Well See A Press Club Meet…",Positive
6,RT @SaysHummingbird: Ex-FBI official: Trump would likely be denied White House security clearance if he weren’t president https://t.co/PwdB…,Neutral
7,@Albion_Rover @sheddybong @Grumpybaws @murdo_fraser Says the bloke who witters on about  being a vassal state of Ge… https://t.co/cAW8fC8F4j,Neutral
8,"RT @RVAwonk: Devin Nunes' work running interference for Trump in the ongoing Russia probe ""has provoked a real threat back home,"" making Nu…",Positive
9,RT @tlhenson823: .@thebestcloser on #Periscope: #CloserNation #EggDrp #GoLive #Trump #MAGA #News #BNC #USA #QAnon #KAGA #Roseanne #W… https…,Neutral
10,"RT @DavidWetherell: MAJOR NEWS: Peter Thiel, a major Trump donor and general Silicon Valley scumbag, sits on the BOD of FB, and he had his…",Positive
11,@thehill speaking of exploiting things for attention.... never heard of this shit-bird before today. But he's a tru… https://t.co/4rXRfd8YHt,Neutral
12,RT @thebradfordfile: Mitt Romney compared himself to Trump. The people replied... https://t.co/zzfmS9p7nY,Neutral
13,RT @VABVOX: Central casting called looking for an unmarried man in his 60s who regularly posts selfies after a blowout like a teenager &amp; wh…,Neutral
14,RT @JelmbLesley: Trump is still pushing to let American hunters murder elephants and bring home their heads as trophies. It's disgusting! L…,Negative
